Time Stamp,ID,Extended,Dir,DLC,D1,D2,D3,D4,D5,D6,D7,D8
51.401900,0x06F,0,0,8,0xB5,0x9B,0xB0,0x37,0xF8,0xB5,0xCF,0x7F
51.402900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
51.599900,0x06F,0,0,8,0xB7,0x9B,0xF0,0x37,0xFE,0xF5,0x8F,0x7F
51.600900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
51.797900,0x06F,0,0,8,0xB5,0x9B,0xB0,0x37,0xFF,0xFD,0xEF,0x7F
51.798900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
51.995950,0x06F,0,0,8,0xB5,0xA3,0xD0,0x37,0xFF,0xFD,0xEF,0x7F
51.997050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
52.193950,0x06F,0,0,8,0xB5,0x9B,0xD0,0x37,0x00,0xFE,0xEF,0x7F
52.194950,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
52.391950,0x06F,0,0,8,0xB5,0x9B,0xB0,0x37,0xFF,0xF9,0xEF,0x7F
52.590200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
52.591550,0x06F,0,0,8,0xB5,0x9B,0xB0,0xB7,0xFE,0xFD,0xEF,0x7F
52.788200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
52.789550,0x06F,0,0,8,0xB5,0x9B,0xB0,0xB7,0xFF,0xFD,0xEF,0x7F
52.986200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
52.987700,0x06F,0,0,8,0xB5,0x9B,0xB0,0x37,0xFF,0xF9,0xEF,0x7F
53.184200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
53.185550,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0xFE,0xF5,0xEF,0x7F
53.382200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
53.383550,0x06F,0,0,8,0xB5,0x9B,0xD0,0x37,0x00,0x02,0xF0,0x7F
53.580200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
53.581550,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0xFE,0xF9,0xEF,0x7F
53.778450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
53.779550,0x06F,0,0,8,0xB5,0x9B,0xD0,0x37,0xFD,0xE1,0xCF,0x7F
53.976250,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
53.977700,0x06F,0,0,8,0xB5,0xA3,0xD0,0xB7,0x00,0xFE,0xCF,0x7F
54.174200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
54.175550,0x06F,0,0,8,0xB5,0x9B,0xD0,0x37,0xFF,0xF1,0xEF,0x7F
54.372200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
54.373550,0x06F,0,0,8,0xB5,0x9B,0xF0,0xB7,0xFE,0x05,0xF0,0x7F
54.570450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
54.571550,0x06F,0,0,8,0xB3,0x9B,0xD0,0x37,0xFE,0xF5,0xEF,0x7F
54.768200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
54.769600,0x06F,0,0,8,0xB3,0x9B,0xD0,0xB7,0xFF,0xF9,0xEF,0x7F
54.966450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
54.967700,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0x00,0x06,0xF0,0x7F
55.164200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
55.165600,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0xFF,0x01,0xF0,0x7F
55.362250,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
55.363600,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0xFE,0xFD,0xEF,0x7F
55.560450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
55.561600,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0x00,0x02,0x10,0x80
55.758450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
55.759600,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0xFF,0x09,0xF0,0x7F
