timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir
56.5516,9.0,111,0.0,8,8.0,[183 155 208 183   0  14 208 127],0.0
56.74845,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
56.7496,9.0,111,0.0,8,8.0,[183 155 176 183 254 245 239 127],0.0
56.94645,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
56.9477,9.0,111,0.0,8,8.0,[183 155 176  55 255 249 239 127],0.0
57.144,9.0,111,0.0,8,8.0,[183 155 208 183 254 249  47 128],0.0
57.1446,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
57.34245,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
57.343599999999995,9.0,111,0.0,8,8.0,[181 155 176  55 255   1 240 127],0.0
57.540499999999994,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
57.541599999999995,9.0,111,0.0,8,8.0,[183 155 176  55 255 241 239 127],0.0
57.738499999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
57.739599999999996,9.0,111,0.0,8,8.0,[181 155 176  55 254 225 207 127],0.0
57.936499999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
57.937749999999994,9.0,111,0.0,8,8.0,[181 155 208 183 252 197 207 127],0.0
58.134499999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
58.1356,9.0,111,0.0,8,8.0,[179 163 176  55 247 125  79 128],0.0
58.332,9.0,111,0.0,8,8.0,[177 163 240  55   0 186  47 128],0.0
58.332649999999994,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
58.530499999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
58.5316,9.0,111,0.0,8,8.0,[183 155 176  55  11  90 176 130],0.0
58.7285,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
58.7296,9.0,111,0.0,8,8.0,[197 107  16 183  43 178 209 129],0.0
58.92605,9.0,111,0.0,8,8.0,[195 131  48 183  32  34 241 140],0.0
58.92735,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
59.1245,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
59.12565,9.0,111,0.0,8,8.0,[207 115 240 182   1 254  15 129],0.0
59.3225,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
59.32365,9.0,111,0.0,8,8.0,[207 115 240 182   0   6 176 128],0.0
59.519999999999996,9.0,111,0.0,8,8.0,[207 115 240 182   0   6 112 129],0.0
59.520649999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
59.717999999999996,9.0,111,0.0,8,8.0,[207 115 240  54   0   2 112 129],0.0
59.71865,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
59.9165,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
59.9178,9.0,111,0.0,8,8.0,[209 115 240  54   0   2  16 129],0.0
60.114,9.0,111,0.0,8,8.0,[207 123 240 182 255   1 176 129],0.0
60.11465,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
60.31205,9.0,111,0.0,8,8.0,[209 115 240 182 255   1 112 128],0.0
60.3127,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
60.5105,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
60.5107,9.0,111,0.0,8,8.0,[209 123 240  54 255   1 144 129],0.0
60.70805,9.0,111,0.0,8,8.0,[211 123 240 182 255   1  48 129],0.0
60.7087,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
60.90605,9.0,111,0.0,8,8.0,[209 123 240 182 255   1 208 128],0.0
60.9067,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
61.104049999999994,9.0,111,0.0,8,8.0,[209 123 240 182 255   1 208 129],0.0
61.104699999999994,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
61.302049999999994,9.0,111,0.0,8,8.0,[211 131 208  54 255   1  48 129],0.0
61.30265,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
61.500049999999995,9.0,111,0.0,8,8.0,[211 131 240  54 255   1  80 129],0.0
61.50065,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
61.698499999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
61.69865,9.0,111,0.0,8,8.0,[211 131 240  54 255 253 143 129],0.0
61.896049999999995,9.0,111,0.0,8,8.0,[213 131 240  54 255 253  47 129],0.0
61.896699999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
62.094049999999996,9.0,111,0.0,8,8.0,[213 131 240 182 254 249  79 129],0.0
